categoria,prompt_id,prompt_texto_corto,turno,measured_energy_kwh,measured_energy_wh,inference_time_s,completion_tokens
math,114,"When rolling two dice, what is the probability that you roll a total number that",1,0.0005745428530344446,0.5745428530344445,159.1049,1024
math,114,Continue from previous question. What's the probability that you roll a number w,2,0.0006970923456706001,0.6970923456706001,193.0421,1024
math,115,"Some people got on a bus at the terminal. At the first bus stop, half of the peo",1,0.0006034884122972349,0.6034884122972349,167.1206,1024
math,115,"If the ticket is $2 per person, how much is the total money earned by the bus?",2,0.0006612481760585205,0.6612481760585205,183.1157,1024
coding,121,Develop a Python program that reads all the text files under a directory and ret,1,0.0005647383834308528,0.5647383834308528,156.3897,1024
coding,121,Can you parallelize it?,2,0.0006794152707165046,0.6794152707165046,188.1468,1024
coding,122,Write a C++ program to find the nth Fibonacci number using recursion.,1,0.0005955017250737926,0.5955017250737926,164.909,1024
coding,122,Now we define a sequence of numbers in which each number is the sum of the three,2,0.0006782900074153964,0.6782900074153965,187.835,1024
coding,123,"Write a simple website in HTML. When a user clicks the button, it shows a random",1,0.0005721494049021324,0.5721494049021324,158.4421,1024
coding,123,How to use CSS to change the color of jokes to red?,2,0.0006750380311323816,0.6750380311323816,186.9345,1024
coding,124,Here is a Python function to find the length of the longest common subsequence o,1,0.0005808288742251239,0.5808288742251239,160.8457,1024
coding,124,"what about this one?  ``` def longest_common_subsequence(X , Y):      # Find len",2,0.0007078613827890816,0.7078613827890816,196.0241,1024
coding,125,Write a function to find the highest common ancestor (not LCA) of two nodes in a,1,0.0005862035825833015,0.5862035825833014,162.3339,1024
coding,125,What if it is not a binary tree?,2,0.0006658513900534511,0.6658513900534511,184.3907,1024
stem,141,"In the field of quantum physics, what is superposition, and how does it relate t",1,0.0005879908150399632,0.5879908150399632,162.829,1024
stem,141,What assumptions have you made in your response? Are they valid?,2,0.0006699090766387983,0.6699090766387983,185.5142,1024
stem,142,Consider a satellite that is in a circular orbit around the Earth. The speed of ,1,0.0005785145219629296,0.5785145219629296,160.2048,1024
stem,142,What are some corner cases or edge cases in your solution? How do you handle the,2,0.0006700964766883522,0.6700964766883523,185.566,1024
stem,143,Photosynthesis is a vital process for life on Earth. Could you outline the two m,1,0.0005924872565564006,0.5924872565564007,164.0741,1024
stem,143,How much energy can a tree produce through photosynthesis in its lifetime? Pleas,2,0.0006814015931879944,0.6814015931879944,188.6967,1024
stem,144,What is the central dogma of molecular biology? What processes are involved? Who,1,0.0005756854764987814,0.5756854764987814,159.4213,1024
stem,144,Identify and fix one incorrect fact in your previous response.,2,0.0006788747834176116,0.6788747834176115,187.997,1024
stem,145,Describe the process and write out the balanced chemical equation for the reacti,1,0.0005855667731587627,0.5855667731587627,162.1577,1024
stem,145,How can we reverse this process?,2,0.0006918666389920567,0.6918666389920567,191.595,1024
humanities,151,"Provide insights into the correlation between economic indicators such as GDP, i",1,0.0006289290417718478,0.6289290417718478,174.1661,1024
humanities,151,"Now, explain them again like I'm five.",2,0.0007037419901568562,0.7037419901568561,194.8837,1024
humanities,152,How do the stages of life shape our understanding of time and mortality?,1,0.0006241702418430491,0.6241702418430491,172.85,1024
humanities,152,Write an allegorical poem that illustrates the above.,2,0.0007047497119671908,0.7047497119671908,195.1628,1024
humanities,153,Discuss antitrust laws and their impact on market competition. Compare the antit,1,0.0006398230103406157,0.6398230103406157,177.1829,1024
humanities,153,Pick one case study and explain it in detail.,2,0.0007091928721477272,0.7091928721477272,196.3932,1024
humanities,154,"Create a lesson plan that integrates drama, mime or theater techniques into a hi",1,0.0006013217417514513,0.6013217417514514,166.5208,1024
humanities,154,Provide more details for Day 1 and include three homework questions.,2,0.0007225329588034964,0.7225329588034963,200.0875,1024
humanities,155,Share ideas for adapting art masterpieces into interactive experiences for child,1,0.000625259010433734,0.625259010433734,173.1497,1024
humanities,155,Write a concrete plan for your second example. Include budget estimates.,2,0.0006993151688179609,0.6993151688179609,193.6576,1024
