categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,inference_time_s,completion_tokens
reasoning,102,2,10,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002651584892772774,265.1584892772774,73.4288,1024
reasoning,102,2,11,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002651492133396763,265.1492133396763,73.4262,1024
reasoning,102,2,12,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002651223554344345,265.1223554344345,73.4187,1024
reasoning,102,2,13,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002650563043641926,265.0563043641926,73.4003,1024
reasoning,102,2,14,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.00026508377332708834,265.08377332708835,73.408,1024
reasoning,102,2,15,You can see a beautiful red house to your left and a hypnotic greenhouse to your,0.0002650633223584231,265.06332235842314,73.4024,1024
reasoning,103,3,1,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026435994795208286,264.35994795208285,73.2076,1024
reasoning,103,3,2,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026464987456365017,264.64987456365014,73.2879,1024
reasoning,103,3,3,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.0002645658194418947,264.5658194418947,73.2647,1024
reasoning,103,3,4,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026466377866214116,264.66377866214117,73.2917,1024
reasoning,103,3,5,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026469392749428757,264.69392749428755,73.3002,1024
reasoning,103,3,6,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026472098119990233,264.7209811999023,73.3075,1024
reasoning,103,3,7,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026457665925742836,264.5766592574284,73.2677,1024
reasoning,103,3,8,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.0002653031828610034,265.3031828610034,73.4687,1024
reasoning,103,3,9,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026480061666612115,264.80061666612113,73.3295,1024
reasoning,103,3,10,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026476235628175354,264.76235628175357,73.3191,1024
reasoning,103,3,11,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.0002647529818351135,264.75298183511353,73.3163,1024
reasoning,103,3,12,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026472652157267986,264.72652157267987,73.309,1024
reasoning,103,3,13,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.0002647390704578396,264.7390704578396,73.3125,1024
reasoning,103,3,14,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.00026471100655213773,264.71100655213775,73.3048,1024
reasoning,103,3,15,"Thomas is very healthy, but he has to go to the hospital every day. What could b",0.0002648440062679685,264.8440062679685,73.3415,1024
reasoning,104,4,1,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026462513515985054,264.6251351598505,73.2809,1024
reasoning,104,4,2,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026518812545252627,265.18812545252626,73.4368,1024
reasoning,104,4,3,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646928420891951,264.6928420891951,73.2998,1024
reasoning,104,4,4,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646598842667077,264.6598842667077,73.2905,1024
reasoning,104,4,5,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646321589322038,264.6321589322038,73.2829,1024
reasoning,104,4,6,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026460988020864747,264.60988020864744,73.2766,1024
reasoning,104,4,7,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646506909885082,264.6506909885082,73.2881,1024
reasoning,104,4,8,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026466754471026025,264.66754471026024,73.2927,1024
reasoning,104,4,9,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646816338719509,264.6816338719509,73.2965,1024
reasoning,104,4,10,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646304264215925,264.6304264215925,73.2823,1024
reasoning,104,4,11,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026464083606755786,264.64083606755787,73.2854,1024
reasoning,104,4,12,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026461636310397193,264.61636310397193,73.2785,1024
reasoning,104,4,13,David has three sisters. Each of them has one brother. How many brothers does Da,0.00026462147358573734,264.62147358573736,73.2799,1024
reasoning,104,4,14,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002647035062752105,264.7035062752105,73.3027,1024
reasoning,104,4,15,David has three sisters. Each of them has one brother. How many brothers does Da,0.0002646349206610951,264.63492066109507,73.2837,1024
reasoning,105,5,1,Read the below passage carefully and answer the questions with an explanation: A,0.0002720788794324816,272.07887943248164,75.3451,1024
reasoning,105,5,2,Read the below passage carefully and answer the questions with an explanation: A,0.00027201918499772447,272.0191849977245,75.3286,1024
reasoning,105,5,3,Read the below passage carefully and answer the questions with an explanation: A,0.0002721181614548854,272.1181614548854,75.3561,1024
reasoning,105,5,4,Read the below passage carefully and answer the questions with an explanation: A,0.0002720978471333264,272.0978471333264,75.3504,1024
reasoning,105,5,5,Read the below passage carefully and answer the questions with an explanation: A,0.00027206728070854096,272.067280708541,75.342,1024
reasoning,105,5,6,Read the below passage carefully and answer the questions with an explanation: A,0.00027207848695218764,272.07848695218763,75.345,1024
reasoning,105,5,7,Read the below passage carefully and answer the questions with an explanation: A,0.00027195045565556745,271.95045565556745,75.3096,1024
reasoning,105,5,8,Read the below passage carefully and answer the questions with an explanation: A,0.0002720088864804552,272.0088864804552,75.3258,1024
reasoning,105,5,9,Read the below passage carefully and answer the questions with an explanation: A,0.0002721009493624639,272.1009493624639,75.3512,1024
reasoning,105,5,10,Read the below passage carefully and answer the questions with an explanation: A,0.0002720467822587002,272.0467822587002,75.3362,1024
reasoning,105,5,11,Read the below passage carefully and answer the questions with an explanation: A,0.0002721310095583613,272.1310095583613,75.3596,1024
reasoning,105,5,12,Read the below passage carefully and answer the questions with an explanation: A,0.0002719978027201352,271.9978027201352,75.3228,1024
reasoning,105,5,13,Read the below passage carefully and answer the questions with an explanation: A,0.0002721147064024828,272.1147064024828,75.3551,1024
reasoning,105,5,14,Read the below passage carefully and answer the questions with an explanation: A,0.0002720970055707746,272.09700557077457,75.3502,1024
reasoning,105,5,15,Read the below passage carefully and answer the questions with an explanation: A,0.00027207459994390865,272.07459994390865,75.344,1024
